fsc_adj,chl_adj,pe_adj
"-34035.166666666664",-19983.083333333332,-42420.666666666664
"-30537.166666666664",-17247.083333333332,-43572.666666666664
"-2979.1666666666642",-22548.083333333332,-40030.666666666664
"-36403.166666666664",-18079.083333333332,-41524.666666666664
"-32643.166666666664",-16788.083333333332,-43492.666666666664
"-22361.166666666664",-23466.083333333332,-41737.666666666664
"-3086.1666666666642",14059.916666666668,-42820.666666666664
"-24473.166666666664",-21151.083333333332,-41684.666666666664
"-29129.166666666664",-20826.083333333332,-40089.666666666664
"-38019.166666666664",-21796.083333333332,-40878.666666666664
"-34302.166666666664",-20116.083333333332,-41241.666666666664
"-35625.166666666664",-12980.083333333332,-41316.666666666664
"-34905.166666666664",-16666.083333333332,-39748.666666666664
3350.8333333333358,15387.916666666668,-38270.666666666664
8678.833333333336,24933.916666666668,-36233.666666666664
"-27145.166666666664",-20650.083333333332,-42068.666666666664
"-20222.166666666664",-20378.083333333332,-43150.666666666664
10321.833333333336,33259.91666666667,-26846.666666666664
"-35827.166666666664",-22196.083333333332,-42057.666666666664
"-6649.166666666664",4304.916666666668,-41790.666666666664
"-339.16666666666424",10315.916666666668,-40094.666666666664
1244.8333333333358,16880.916666666668,-33913.666666666664
"-3737.1666666666642",9989.916666666668,-41406.666666666664
"-34414.166666666664",-22292.083333333332,-41284.666666666664
"-14073.166666666664",-3156.083333333332,-29881.666666666664
"-36723.166666666664",-18234.083333333332,-40409.666666666664
1596.8333333333358,10555.916666666668,-37065.666666666664
"-38643.166666666664",-19359.083333333332,-41060.666666666664
"-33785.166666666664",-16788.083333333332,-44217.666666666664
"-21417.166666666664",-17839.083333333332,-42244.666666666664
"-2019.1666666666642",12629.916666666668,-35758.666666666664
"-37438.166666666664",-23076.083333333332,-42329.666666666664
"-34435.166666666664",-21844.083333333332,-40292.666666666664
"-36089.166666666664",-20367.083333333332,-41934.666666666664
"-34393.166666666664",-16692.083333333332,-42388.666666666664
"-15150.166666666664",-18074.083333333332,-40820.666666666664
"-31683.166666666664",-17220.083333333332,-40569.666666666664
"-30259.166666666664",-17903.083333333332,-38777.666666666664
"-12569.166666666664",1803.9166666666679,-40137.666666666664
"-22163.166666666664",-21386.083333333332,-44217.666666666664
"-30126.166666666664",-22122.083333333332,-40580.666666666664
790.8333333333358,13088.916666666668,-39225.666666666664
"-32590.166666666664",-23034.083333333332,-41257.666666666664
"-3662.1666666666642",3163.916666666668,-39865.666666666664
"-34025.166666666664",-19498.083333333332,-41166.666666666664
"-2937.1666666666642",5221.916666666668,-41134.666666666664
"-28723.166666666664",-18111.083333333332,-40798.666666666664
"-7443.166666666664",-13802.083333333332,-43940.666666666664
"-40345.166666666664",-22084.083333333332,-41769.666666666664
"-38211.166666666664",-21242.083333333332,-40388.666666666664
"-35433.166666666664",-23844.083333333332,-40670.666666666664
"-31566.166666666664",-20335.083333333332,-41214.666666666664
"-32675.166666666664",-19380.083333333332,-40382.666666666664
"-26638.166666666664",-15908.083333333332,-40681.666666666664
"-38499.166666666664",-24138.083333333332,-41188.666666666664
"-31465.166666666664",-20042.083333333332,-40169.666666666664
"-31811.166666666664",-16714.083333333332,-40334.666666666664
"-29198.166666666664",-21892.083333333332,-39726.666666666664
"-36702.166666666664",-21834.083333333332,-40142.666666666664
"-32995.166666666664",-19487.083333333332,-41220.666666666664
"-5571.166666666664",2437.916666666668,-41748.666666666664
"-3107.1666666666642",12064.916666666668,-39220.666666666664
"-35897.166666666664",-20660.083333333332,-39118.666666666664
"-34835.166666666664",-19823.083333333332,-42489.666666666664
"-6766.166666666664",3019.916666666668,-41284.666666666664
"-30035.166666666664",-23551.083333333332,-40153.666666666664
